Plot ID	Sp Code	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP73	NA	55	0	0	0	0
BSP73	NA	55	0	0	0	0
BSP73	NA	56	0	0	0	0
BSP73	NA	57	0	0	0	0
BSP73	NA	61	0	0	0	0
BSP73	NA	62	0	0	0	0
BSP73	NA	110	0	0	0	0
BSP74	NA	13	0	0	0	0
BSP74	NA	14	0	0	0	0
BSP74	NA	15	0	0	0	0
BSP74	NA	16	0	0	0	0
BSP74	NA	18	0	0	0	0
BSP74	NA	19	0	0	0	0
BSP74	NA	20	0	0	0	0
BSP74	NA	20	0	0	0	0
BSP74	NA	21	0	0	0	0
BSP74	NA	22	0	0	0	0
BSP74	NA	25	0	0	0	0
BSP74	NA	33	0	0	0	0
BSP74	NA	35	0	0	0	0
BSP74	NA	44	0	0	0	0
BSP74	NA	60	0	0	0	0
BSP74	NA	140	0	0	0	0
BSP75	NA	31	0	0	0	0
BSP75	NA	100	0	0	0	0
BSP79	NA	11	0	0	0	0
BSP79	NA	12	0	0	0	0
BSP79	NA	14	0	0	0	0
BSP79	NA	17	0	0	0	0
BSP79	NA	18	0	0	0	0
BSP79	NA	22	0	0	0	0
BSP79	NA	22	0	0	0	0
BSP79	NA	25	0	0	0	0
BSP79	NA	28	0	0	0	0
BSP79	NA	28	0	0	0	0
BSP79	NA	30	0	0	0	0
BSP79	NA	34	0	0	0	0
BSP79	NA	36	0	0	0	0
BSP79	NA	44	0	0	0	0
BSP79	NA	49	0	0	0	0
BSP79	NA	65	0	0	0	0
BSP79	NA	67	0	0	0	0
BSP80	NA	13	0	0	0	0
BSP80	NA	13	0	0	0	0
BSP80	NA	14	0	0	0	0
BSP80	NA	14	0	0	0	0
BSP80	NA	15	0	0	0	0
BSP80	NA	16	0	0	0	0
BSP80	NA	17	0	0	0	0
BSP80	NA	17	0	0	0	0
BSP80	NA	17	0	0	0	0
BSP80	NA	18	0	0	0	0
BSP80	NA	18	0	0	0	0
BSP80	NA	19	0	0	0	0
BSP80	NA	22	0	0	0	0
BSP80	NA	22	0	0	0	0
BSP80	NA	22	0	0	0	0
BSP80	NA	22	0	0	0	0
BSP80	NA	22	0	0	0	0
BSP80	NA	23	0	0	0	0
BSP80	NA	26	0	0	0	0
BSP80	NA	27	0	0	0	0
BSP80	NA	27	0	0	0	0
BSP80	NA	28	0	0	0	0
BSP80	NA	28	0	0	0	0
BSP80	NA	28	0	0	0	0
BSP80	NA	29	0	0	0	0
BSP80	NA	31	0	0	0	0
BSP80	NA	33	0	0	0	0
BSP80	NA	35	0	0	0	0
BSP80	NA	36	0	0	0	0
BSP80	NA	36	0	0	0	0
BSP80	NA	37	0	0	0	0
BSP80	NA	40	0	0	0	0
BSP80	NA	42	0	0	0	0
BSP80	NA	43	25	0	0	0
BSP80	NA	46	0	0	0	0
BSP80	NA	65	0	0	0	0
BSP80	NA	67	0	0	0	0
BSP80	NA	69	0	0	0	0
BSP80	NA	130	0	0	0	0
BSP80	NA	178	0	0	0	0
BSP82	NA	14	0	0	0	0
BSP82	NA	14	0	0	0	0
BSP82	NA	18	0	0	0	0
BSP82	NA	18	0	0	0	0
BSP82	NA	26	0	0	0	0
BSP82	NA	26	0	0	0	0
BSP82	NA	35	0	0	0	0
BSP82	NA	37	0	0	0	0
BSP82	NA	37	0	0	0	0
BSP82	NA	41	0	0	0	0
BSP82	NA	43	0	0	0	0
BSP82	NA	43	0	0	0	0
BSP82	NA	46	0	0	0	0
BSP82	NA	75	0	0	0	0
BSP82	NA	79	0	0	0	0
BSP82	NA	82	0	0	0	0
BSP82	NA	120	0	0	0	0
BSP83	NA	15	0	0	0	0
BSP83	NA	35	0	0	0	0
BSP84	NA	15	0	0	0	0
BSP84	NA	32	0	0	0	0
BSP84	NA	35	0	0	0	0
BSP84	NA	36	0	0	0	0
BSP84	NA	37	0	0	0	0
BSP84	NA	45	0	0	0	0
BSP84	NA	49	0	0	0	0
BSP84	NA	53	0	0	0	0
BSP84	NA	73	0	0	0	0
BSP84	NA	137	0	0	0	0
BSP98	NA	16	0	0	0	0
BSP98	NA	18	0	0	0	0
BSP98	NA	28	0	0	0	0
BSP98	NA	31	0	0	0	0
BSP98	NA	41	0	0	0	0
BSP98	NA	69	0	0	0	0
BSP98	NA	81	0	0	0	0
BSP98	NA	91	0	0	0	0
BSP99	NA	118	0	0	0	0
BSP68	Actitadu	25	0	0	0	0
BSP68	NA	37	0	0	0	0
